# Finding C bench log, 4 September 2026, filtered by filter_C.py: hex dumps and the app's sync noise removed, nothing else
[00:52.573] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[00:55.642] himax | Inactivity period set at 1000ms
[00:55.642] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[00:55.642] himax | Starting Image Task
[00:55.642] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[00:55.642] himax | Enabling RP SENSOR_ENABLE
[00:55.642] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[00:55.642] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[00:55.642] himax | mclk DIV3, xshutdown_pin=82
[00:55.642] himax | IMX708 Init by app (IMX708_common_setting)
[00:55.642] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[00:55.642] himax | Init IMX708 Default PDAF pixel correction gains 
[00:55.642] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[00:55.642] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[00:55.642] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[00:55.642] himax | Quad Bayer re-mosaic adjustments ON
[00:55.642] himax | IMX708 Init by app (IMX708_mirror_setting)
[00:55.642] himax | CWD is '0:/MANIFEST'
[00:55.642] himax | Error opening '0:/RPV3_EX.BIN': 4
[00:55.642] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[00:55.642] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[00:55.642] himax | MIPI TX CLK: 200M
[00:55.642] himax | t_input: 12943ns
[00:55.642] himax | t_output: 11520ns
[00:55.642] himax | t_preload: 185ns
[00:55.642] himax | MIPI RX FIFO FILL: 70
[00:55.642] himax | MIPI TX FIFO FILL: 0
[00:55.642] himax | RESET MIPI CSI RX/TX
[00:55.642] himax | sensor_type: 15
[00:55.642] himax | DEBUG: ledFlashBrightness(89%) [brbits = 0xd]
[00:55.642] himax | DEBUG: ledFlashSelectLED(0)
[00:55.642] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[00:55.642] himax | DEBUG: ledFlashDisable()
[00:55.642] himax | Not initialising NN (project ID is 0)
[00:55.642] himax | No model found.
[00:55.893] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[00:55.893] himax | Image sensor and data path initialised for camera RP v3
[00:55.893] himax |   Camera system enabled.
[00:55.893] himax |   Neural network disabled.
[00:55.893] himax |   Flash LED(s) in use: 0
[00:55.893] himax |   Flash brightness: 89%
[00:55.893] himax |   Light is currently LIGHT.
[00:55.893] himax |   Flash duration 100ms
[00:55.893] himax |   MD disabled.
[00:55.893] himax |   Timelapse disabled.
[00:55.893] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[00:55.893] himax | Assert inter-processor interrupt.
[00:55.893] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:08Z'
[00:55.893] himax | Negate inter-processor interrupt.
[00:55.893] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[00:55.893] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:55.893] himax | I2C transmission complete.
[00:55.893] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[00:55.893] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[00:55.893] himax | Received I2C message.
[00:55.893] himax | MKL62BA command received: 'selftest'
[00:55.893] himax | selfTest 0000
[00:55.893] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[00:55.893] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000ea30
[00:55.893] himax | Assert inter-processor interrupt.
[00:55.893] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[00:55.893] himax | Negate inter-processor interrupt.
[00:55.893] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[00:55.893] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:55.893] himax | I2C transmission complete.
[00:55.893] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[00:55.893] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[00:55.893] himax | Received I2C message.
[00:55.893] himax | MKL62BA command received: 'capture 3 3000'
[00:55.893] himax | About to capture 3 images with an interval of '3000' milliseconds
[00:55.893] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[00:55.893] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000ea30
[00:55.893] himax | Assert inter-processor interrupt.
[00:55.893] himax | Sending 71 bytes: Header 4, payload 65, checksum 2 'About to capture 3 images with an interval of '3000' milliseconds'
[00:55.893] himax | Negate inter-processor interrupt.
[00:55.893] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[00:55.893] himax | IMAGE Task received event 'Image Event Start Capture' (0x0a01). Rx data = 0x00000003
[00:55.893] himax | Images to capture: 3
[00:55.893] himax | Interval: 3000ms
[00:55.893] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[00:55.893] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[00:55.893] himax | MIPI TX CLK: 200M
[00:55.893] himax | t_input: 12943ns
[00:55.893] himax | t_output: 11520ns
[00:55.893] himax | t_preload: 185ns
[00:55.893] himax | MIPI RX FIFO FILL: 70
[00:55.893] himax | MIPI TX FIFO FILL: 0
[00:55.893] himax | RESET MIPI CSI RX/TX
[00:55.893] himax | sensor_type: 15
[00:55.893] himax | DEBUG: ledFlashDisable()
[00:55.893] himax | IMX708 on by app done
[00:55.893] himax | g_cursensorstream: 0
[00:55.893] himax | IMAGE Task state changed from 'Init' (1) to 'Capturing' (2)
[00:55.893] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:55.893] himax | I2C transmission complete.
[00:55.893] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[00:55.893] himax | IMAGE Task received event 'Image Event Frame Ready' (0x0a04). Rx data = 0x00000000
[00:55.893] himax | DEBUG: ledFlashDisable()
[00:55.893] himax | Image capture 1/3 took 51ms
[00:55.955] nrf   | <info> app: !11 
[00:56.161] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0x509A)
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[00:56.161] nrf   | <info> app: BLE and AI time differ by 688s - too much!
[00:56.161] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[00:56.161] nrf   | BLE out: Sent   5 bytes: 'Wake'
[00:56.161] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[00:56.161] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[00:56.161] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[00:56.161] nrf   | <info> app: I2C TX complete: 14 bytes.
[00:56.161] nrf   | <info> app: !12 
[00:56.161] nrf   | <info> app: I2C RX payload 13/250 bytes. Response type is 4. CRC OK (0x7FB8)
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[00:56.161] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[00:56.161] nrf   | <info> app: Can't send UTC
[00:56.161] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[00:56.161] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[00:56.161] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[00:56.161] nrf   | Sending 'capture 3 3000' to AI processor (4 ctrl bytes, 14 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[00:56.161] nrf   | <info> app: I2C TX complete: 20 bytes.
[00:56.161] nrf   | <info> app: !13 
[00:56.161] nrf   | <info> app: I2C RX payload 65/250 bytes. Response type is 4. CRC OK (0x5A0C)
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[00:56.161] nrf   | <info> app: !14 
[00:56.161] nrf   | <info> app: AI processor replies: 'About to capture 3 images with an interval of '3000' milliseconds'
[00:56.161] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[00:56.161] nrf   | BLE out: Sent  66 bytes: 'About to capture 3 images with an interval of '3000' milliseconds'
[00:56.161] nrf   | <info> app: NUS TX Ready
[00:56.161] nrf   | <info> app: NUS TX Ready
[00:56.161] nrf   | <info> app: I2C RX payload 117/250 bytes. Response type is 4. CRC OK (0xB5BB)
[00:56.161] nrf   | <info> app: !15 
[00:56.161] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: IDLE)
[00:56.161] nrf   | BLE out: Sent 118 bytes: 'HM0360 AE regs:
[00:56.161] nrf   |   Integration time = 376 lines
[00:56.161] nrf   |   Analog gain = 1
[00:56.161] nrf   |   Digital gain = 93
[00:56.161] nrf   |   AE Mean = 76
[00:56.161] nrf   |   AEConverged?: Y'
[00:56.161] nrf   | <info> app: I2C RX payload 123/250 bytes. Response type is 4. CRC OK (0x51D1)
[00:56.206] himax | Skipping NN processing (no model loaded).
[00:56.206] himax | HM0360 AE regs:
[00:56.206] himax |   Integration time = 376 lines
[00:56.206] himax |   Analog gain = 1
[00:56.206] himax |   Digital gain = 93
[00:56.206] himax |   AE Mean = 76
[00:56.206] himax |   AEConverged?: Y
[00:56.206] himax | IF Task received event 'Message to Master' (0x070d). Rx data = 0x300113b8
[00:56.206] himax | Assert inter-processor interrupt.
[00:56.206] himax | Sending 123 bytes: Header 4, payload 117, checksum 2 'HM0360 AE regs:
[00:56.206] himax |   Integration time = 376 lines
[00:56.206] himax |   Analog gain = 1
[00:56.206] himax |   Digital gain = 93
[00:56.206] himax |   AE Mean = 76
[00:56.206] himax |   AEConverged?: Y'
[00:56.206] himax | Negate inter-processor interrupt.
[00:56.206] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[00:56.206] himax | HM0360 motion in 4 blocks:
[00:56.206] himax | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 b0 00 00 
[00:56.206] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:56.206] himax | I2C transmission complete.
[00:56.206] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[00:56.206] himax | IF Task received event 'Message to Master' (0x070d). Rx data = 0x300113b8
[00:56.206] himax | Assert inter-processor interrupt.
[00:56.206] himax | Sending 129 bytes: Header 4, payload 123, checksum 2 'HM0360 motion in 4 blocks:
[00:56.206] himax | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 b0 00 00 '
[00:56.206] himax | Negate inter-processor interrupt.
[00:56.206] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[00:56.206] himax | ................
[00:56.206] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ................
[00:56.207] himax | ............#...
[00:56.207] himax | ................
[00:56.207] himax | ............##.#
[00:56.207] himax | ................
[00:56.207] himax | WB auto: means R=64 G=109 B=76 -> gains R x461/256, B x347/256
[00:56.207] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:56.207] himax | I2C transmission complete.
[00:56.207] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[00:56.207] himax | Colour correction: R x461/256, B x347/256 in 89ms
[00:56.359] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[00:56.474] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: IDLE)
[00:56.474] nrf   | BLE out: Sent 124 bytes: 'HM0360 motion in 4 blocks:
[00:56.474] nrf   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 b0 00 00 '
[00:56.474] nrf   | <info> app: NUS TX Ready
[00:56.474] nrf   | <info> app: NUS TX Ready
[00:56.474] nrf   | <info> app: NUS TX Ready
[00:56.508] himax | SW JPEG 10776 bytes in 182ms
[00:56.508] himax | Added 12 EXIF tags
[00:56.508] himax | Writing 11288 bytes (10776 + 512) to '59200890.JPG' from jpeg buffer of 115860 bytes
[00:56.508] himax | IMAGE Task state changed from 'Capturing' (2) to 'NN Processing' (3)
[00:56.508] himax | FatFS Task received event 'Write image' (0x0901). Rx data = 0x30020c2c
[00:56.508] himax | Wrote 11286 byte image to SD: 59200890.JPG at 0:0:9 1/1/2024
[00:56.508] himax | File write took 46ms
[00:56.508] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[00:56.508] himax | IMAGE task sending event 0x0901. Rx data = 0x30020c2c
[00:56.508] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[00:56.508] himax | IMAGE Task state changed from 'NN Processing' (3) to 'Wait For Timer' (4)
[00:57.380] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Error bits = 0x0000
[00:57.440] himax | Inactive for 1000ms
[00:57.440] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[00:57.440] himax | Stopping sensor
[00:57.440] himax | IMX708 off by app 
[00:57.440] himax | Disabling RP SENSOR_ENABLE
[00:57.440] himax | IMAGE Task state changed from 'Wait For Timer' (4) to 'Save State' (5)
[00:57.440] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[00:57.440] himax | Saved state to SD card. Image sequence number = 28
[00:57.440] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[00:57.440] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[00:57.440] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[00:57.440] himax | Image task ready to sleep.
[00:57.440] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[00:57.440] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[00:57.440] himax | Assert inter-processor interrupt.
[00:57.440] himax | Sending 99 bytes: Header 4, payload 93, checksum 2 'Sleep 28 0 0 13 102 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 21 0 2 50 65 15 0 0 286 326 1 110 1 '
[00:57.440] himax | Negate inter-processor interrupt.
[00:57.440] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[00:57.440] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[00:57.440] himax | I2C transmission complete.
[00:57.440] himax | IF task ready to sleep.
[00:57.440] himax | DEBUG: ledFlashDisable()
[00:57.440] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[00:57.440] himax |    Inhibiting MD
[00:57.440] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[00:57.440] himax |  No LED flashes.
[00:57.440] himax | >>> Entering DPD at 2024:01:01 00:00:10
[00:57.707] nrf   | <info> app: !16 
[00:57.707] nrf   | <info> app: I2C RX payload 93/250 bytes. Response type is 4. CRC OK (0x698F)
[00:57.707] nrf   | <info> app: AI state machine bumped with 'Sleep' (Current state: IDLE)
[00:57.707] nrf   | <info> app: AI processor sends stats: '28 0 0 13 102 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 21 0 2 50 65 15 0 0 286 326 1 110 1 '
[00:57.707] nrf   | <info> app: AI state changed from IDLE to SLEEP
[00:57.707] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[00:58.009] nrf   | <info> app: NUS TX Ready
[00:58.399] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: About to capture 3 images with an interval of '3000' milliseconds
[00:59.479] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 AE regs:
[00:59.480] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[00:59.480] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 1
[00:59.480] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 93
[00:59.480] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 76
[00:59.480] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AEConverged?: Y
[01:00.531] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: HM0360 motion in 4 blocks:
[01:00.539] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 b0 00 00 
[01:01.597] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[01:57.691] nrf   | <info> app: BLE Timeout: disconnecting
[01:57.792] app   | Peripheral disconnect event triggered. Disconnecting: D6:47:9B:89:E7:23
[01:57.992] nrf   | <info> app: Disconnected. Conn_handle: 0x0, reason: 0x16
[01:57.992] nrf   | <info> app:   local
[04:36.361] app   | [Error: BleManager.connect function timed out]
[04:36.361] app   | Connecting to device failed, disconnecting device.
[04:36.962] app   | Peripheral disconnect event triggered. Disconnecting: D6:47:9B:89:E7:23
[04:37.588] nrf   | <info> app: Advertising Fast.
[04:37.588] nrf   | <info> app: Starting advertising
[05:07.571] nrf   | <info> app: Advertising Slow.
[05:11.853] nrf   | <debug> nrf_ble_gatt: Requesting to update ATT MTU to 247 bytes on connection 0x0.
[05:11.853] nrf   | <debug> nrf_ble_gatt: Updating data length to 251 on connection 0x0.
[05:11.853] nrf   | <info> app: Connected
[05:11.853] nrf   | <info> app: Requesting DLE to 251 bytes
[05:11.853] nrf   | <debug> nrf_ble_gatt: ATT MTU updated to 247 bytes on connection 0x0 (response).
[05:11.853] nrf   | <info> app: ATT MTU exchange completed. MTU set to 247 bytes.
[05:11.853] nrf   | <debug> nrf_ble_gatt: Data length updated to 251 on connection 0x0.
[05:11.853] nrf   | <debug> nrf_ble_gatt: max_rx_octets: 27
[05:11.853] nrf   | <debug> nrf_ble_gatt: max_tx_octets: 251
[05:11.853] nrf   | <debug> nrf_ble_gatt: max_rx_time: 328
[05:11.853] nrf   | <debug> nrf_ble_gatt: max_tx_time: 2120
[05:11.853] nrf   | <info> app: GATT data length updated to 251 bytes.
[05:11.853] nrf   | <info> app: Data length updated: TX = 251, RX = 27
[05:12.038] app   | Extracting services and characteristics.
[05:12.040] app   | Available services: ["1800","1801","6e400001-b5a3-f393-e0a9-e50e24dcca9e"]
[05:12.072] app   | Notifications started for 6e400003-b5a3-f393-e0a9-e50e24dcca9e
[05:12.072] app   | Connection priority: High
[05:12.079] app   | MTU negotiated to 512 bytes
[05:12.080] app   | Device WILD-CNKW connected
[05:12.154] nrf   | <info> app: NUS start
[05:12.154] nrf   | <info> app: Conn params applied: interval 36 units (45ms), timeout 5000ms
[05:12.454] nrf   | <debug> nrf_ble_gatt: Peer on connection 0x0 requested a data length of 247 bytes.
[05:12.454] nrf   | <debug> nrf_ble_gatt: Updating data length to 247 on connection 0x0.
[05:12.454] nrf   | <debug> nrf_ble_gatt: Data length updated to 247 on connection 0x0.
[05:12.454] nrf   | <debug> nrf_ble_gatt: max_rx_octets: 247
[05:12.454] nrf   | <debug> nrf_ble_gatt: max_tx_octets: 247
[05:12.454] nrf   | <debug> nrf_ble_gatt: max_rx_time: 2120
[05:12.454] nrf   | <debug> nrf_ble_gatt: max_tx_time: 2120
[05:12.454] nrf   | <info> app: GATT data length updated to 247 bytes.
[05:12.454] nrf   | <info> app: Data length updated: TX = 247, RX = 247
[05:12.770] nrf   | <info> app: Conn params applied: interval 12 units (15ms), timeout 5000ms
[05:32.004] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[05:37.804] nrf   | BLE in: Received  13 bytes 'AI switchslot'
[05:37.804] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: SLEEP)
[05:37.804] nrf   | <info> app: AI processor is in DPD. Waking it. (switchslot)
[05:37.804] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[05:37.804] himax | slot flash_offset 0x00100000
[05:37.804] himax | New MemDesp himax_sec_SB_image_process PASS
[05:37.804] himax | set_memory_s_ns
[05:37.804] himax | HX_DSP_FLAG 1
[05:37.804] himax | jump_addr=0x10000000
[05:37.804] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[05:37.805] himax | **** WW500 MD. (WW500_C02) Built: 13:32:59 Sep  3 2026 ****
[05:37.805] himax | Git branch: 'nogit' nogit-dirty
[05:37.805] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[05:37.805] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[05:37.805] himax | Camera: RP v3 (IMX708)
[05:37.805] himax | Enabling RP SENSOR_ENABLE
[05:38.105] himax | PCA9574 present at 0x20
[05:38.105] himax | DEBUG: ledFlashSelectLED(0)
[05:38.105] himax | Initialised LED Flash
[05:38.106] himax | HM0360 present at 0x24
[05:38.106] himax | Main camera present at 0x1a
[05:38.106] himax | Disabling RP SENSOR_ENABLE
[05:38.106] himax | ### Warm Boot ###
[05:38.106] himax | Woke at 2024:01:01 00:00:10 
[05:38.106] himax | BLE wake
[05:38.106] himax | Initialising FreeRTOS tasks
[05:38.106] himax | Created task 'CLI' Priority 4
[05:38.106] himax | Created task 'IFTask' Priority 3
[05:38.106] himax | Created task 'FAT' Priority 2
[05:38.106] himax | Created task 'IMAGE' Priority 1
[05:38.106] himax | FreeRTOS scheduler started.
[05:38.106] himax | Starting CLI Task
[05:38.106] himax | Enter 'help' to view a list of available commands.
[05:38.106] himax | cmd> Starting IFTask
[05:38.106] himax | I2C slave instance 0 configured at address 0x62
[05:38.106] himax | I2C buffers have 256 bytes, payload is 244
[05:38.106] himax | Starting FatFS Task
[05:38.141] app   | Written AI switchslot to the device WILD-CNKW (09:27:31-583)
[05:38.141] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI switchslot
[05:38.420] nrf   | <info> app: !17 
[05:38.420] himax | Mounting FatFS on SD card OK
[05:38.420] himax | Directory '/MANIFEST' exists
[05:38.420] himax | SD card initialised. CWD is '0:/'
[05:38.420] himax | Loading configuration: CWD is '0:/MANIFEST'
[05:38.420] himax | 'CONFIG.TXT' found. (Next image #28), camera enabled. Flash brightness 89
[05:38.420] himax | Retaining existing images directory (21 <= 100) '/MEDIA/00000000/IMAGES.000'
[05:38.420] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[05:38.420] himax | FatFs setup took 249ms
[05:38.420] himax | Inactivity period set at 1000ms
[05:38.420] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[05:38.420] himax | Starting Image Task
[05:38.420] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[05:38.420] himax | Enabling RP SENSOR_ENABLE
[05:38.420] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[05:38.420] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[05:38.420] himax | mclk DIV3, xshutdown_pin=82
[05:38.420] himax | IMX708 Init by app (IMX708_common_setting)
[05:38.420] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[05:38.420] himax | Init IMX708 Default PDAF pixel correction gains 
[05:38.420] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[05:38.420] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[05:38.420] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[05:38.420] himax | Quad Bayer re-mosaic adjustments ON
[05:38.420] himax | IMX708 Init by app (IMX708_mirror_setting)
[05:38.420] himax | CWD is '0:/MANIFEST'
[05:38.420] himax | Error opening '0:/RPV3_EX.BIN': 4
[05:38.420] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[05:38.420] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[05:38.420] himax | MIPI TX CLK: 200M
[05:38.420] himax | t_input: 12943ns
[05:38.420] himax | t_output: 11520ns
[05:38.420] himax | t_preload: 185ns
[05:38.420] himax | MIPI RX FIFO FILL: 70
[05:38.420] himax | MIPI TX FIFO FILL: 0
[05:38.420] himax | RESET MIPI CSI RX/TX
