# Original sighting, 2 September 2026, capture_flash_01.log 06:34.474 to 06:41.223 (HM0360 slot, op8 3000): hex dumps and app noise removed
[06:34.451] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Error bits = 0x0000
[06:39.348] himax | Stopping sensor
[06:39.348] himax |    Inhibiting MD
[06:39.348] himax |    Changing mode from 2 to 0 with nFrames=0, sleepTime=0 sleepCount = 0xffff
[06:39.348] himax | sensor_type: 8
[06:39.348] himax |    Interval of 500ms gives sleep count = 0x4018
[06:39.348] himax |    Changing mode from 0 to 2 with nFrames=1, sleepTime=500 sleepCount = 0x4018
[06:39.348] himax | IMAGE Task received event 'Unrecognised' (0x011b). Rx data = 0x00000000
[06:39.348] himax | >>>> Received a timeout event 0x011b after 1ms <<<<
[06:41.193] himax | IMAGE Task received event 'Unrecognised' (0x012a). Rx data = 0x00000000
[06:41.193] himax | IMAGE task unhandled event 0x012a in 'Capturing'
[06:41.193] himax | IF Task received event 'Message to Master' (0x070d). Rx data = 0x30010e98
[06:41.193] himax | Assert inter-processor interrupt.
[06:41.193] himax | Sending 54 bytes: Header 4, payload 48, checksum 2 'IMAGE task unhandled event 0x012a in 'Capturing''
[06:41.193] himax | Negate inter-processor interrupt.
[06:41.193] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[06:41.193] himax | IMAGE Task received event 'Unrecognised' (0x0131). Rx data = 0x00000000
[06:41.193] himax | IMAGE task unhandled event 0x0131 in 'Capturing'
[06:41.193] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[06:41.193] himax | I2C transmission complete.
[06:41.193] himax | IF task ready to sleep.
[06:41.193] himax | DEBUG: ledFlashDisable()
[06:41.193] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[06:41.193] himax |    Inhibiting MD
[06:41.193] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[06:41.193] himax |  No LED flashes.
[06:41.193] himax | [LS] Will wake to check light level in 900 seconds. Currently it is LIGHT
[06:41.193] himax | >>> Entering DPD at 2024:01:01 00:00:48
[06:41.193] himax | Will wake at 2024:01:01 00:15:48
