# Finding I bench log, 4 September 2026, filtered by filter_I.py: hex dumps removed, per-packet chatter kept only around the key events of each transfer
[03:46.088] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: ver
[04:32.954] himax | FreeRTOS scheduler started.
[04:32.954] himax | Starting CLI Task
[04:32.954] himax | Enter 'help' to view a list of available commands.
[04:32.954] himax | cmd> Starting IFTask
[04:32.954] himax | I2C slave instance 0 configured at address 0x62
[04:32.954] himax | I2C buffers have 256 bytes, payload is 244
[04:32.954] himax | Starting FatFS Task
[04:33.259] himax | Mounting FatFS on SD card OK
[04:33.259] himax | Directory '/MANIFEST' exists
[04:33.259] himax | SD card initialised. CWD is '0:/'
[04:33.259] himax | Loading configuration: CWD is '0:/MANIFEST'
[04:33.259] himax | 'CONFIG.TXT' found. (Next image #27), camera enabled. Flash brightness 89
[04:33.259] himax | Retaining existing images directory (20 <= 100) '/MEDIA/00000000/IMAGES.000'
[04:33.259] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[04:33.259] himax | FatFs setup took 247ms
[04:33.259] himax | Inactivity period set at 1000ms
            ... 1 per-packet lines ...
[04:33.259] himax | Starting Image Task
[04:33.259] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[04:33.259] himax | Enabling RP SENSOR_ENABLE
[04:33.259] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[04:33.259] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[04:33.259] himax | mclk DIV3, xshutdown_pin=82
            ... 1 per-packet lines ...
[04:33.570] himax | IMX708 Init by app (IMX708_common_setting)
[04:33.570] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[04:33.570] himax | Init IMX708 Default PDAF pixel correction gains 
[04:33.570] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[04:33.570] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[04:33.570] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[04:33.570] himax | Quad Bayer re-mosaic adjustments ON
[04:33.570] himax | IMX708 Init by app (IMX708_mirror_setting)
[04:33.570] himax | CWD is '0:/MANIFEST'
[04:33.570] himax | Error opening '0:/RPV3_EX.BIN': 4
[04:33.570] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[04:33.570] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[04:33.570] himax | MIPI TX CLK: 200M
[04:33.570] himax | t_input: 12943ns
[04:33.570] himax | t_output: 11520ns
[04:33.570] himax | t_preload: 185ns
[04:33.570] himax | MIPI RX FIFO FILL: 70
[04:33.570] himax | MIPI TX FIFO FILL: 0
[04:33.570] himax | RESET MIPI CSI RX/TX
[04:33.570] himax | sensor_type: 15
[04:33.570] himax | DEBUG: ledFlashBrightness(89%) [brbits = 0xd]
[04:33.570] himax | DEBUG: ledFlashSelectLED(0)
[04:33.570] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[04:33.570] himax | DEBUG: ledFlashDisable()
[04:33.570] himax | Not initialising NN (project ID is 0)
[04:33.570] himax | No model found.
[04:33.570] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[04:33.570] himax | Image sensor and data path initialised for camera RP v3
[04:33.570] himax |   Camera system enabled.
[04:33.570] himax |   Neural network disabled.
[04:33.570] himax |   Flash LED(s) in use: 0
[04:33.570] himax |   Flash brightness: 89%
[04:33.570] himax |   Light is currently LIGHT.
[04:33.570] himax |   Flash duration 100ms
[04:33.570] himax |   MD disabled.
[04:33.570] himax |   Timelapse disabled.
            ... 2 per-packet lines ...
[04:33.570] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:32Z'
            ... 6 per-packet lines ...
[04:33.570] himax | Received I2C message.
[04:33.570] himax | MKL62BA command received: 'selftest'
[04:33.570] himax | selfTest 0000
            ... 1 per-packet lines ...
[04:33.570] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000ea30
[04:33.570] himax | Assert inter-processor interrupt.
[04:33.570] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[04:33.570] himax | Negate inter-processor interrupt.
[04:33.570] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[04:33.570] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[04:33.570] himax | I2C transmission complete.
[04:33.570] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[04:33.740] app   | [FileTransfer] FILE_START ACKed (1048ms)
[04:33.742] app   | [FileTransfer] DATA phase: credit streaming (window=12)
[04:33.880] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[04:33.880] himax | Received I2C message.
[04:33.880] himax | FileTX: Receiving 'LARGE.BIN' (512000 bytes)
[04:33.880] himax | Opened 'LARGE.BIN' for writing
[04:33.880] nrf   | <info> app: I2C RX payload 25/250 bytes. Response type is 4. CRC OK (0xE601)
[04:33.880] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[04:33.880] nrf   | <info> app: BLE and AI time differ by 2286s - too much!
[04:33.880] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[04:33.880] nrf   | BLE out: Sent   5 bytes: 'Wake'
[04:33.880] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[04:33.880] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[04:33.880] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[04:33.880] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[04:33.880] nrf   | <info> app: I2C TX complete: 14 bytes.
            ... 2 per-packet lines ...
[04:33.880] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[04:33.880] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[04:33.880] nrf   | <info> app: Can't send UTC
[04:33.880] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[04:33.880] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[04:33.880] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[04:33.880] nrf   | <info> app: AI state machine bumped with 'TxFile to AI' (Current state: IDLE)
[04:33.880] nrf   | Sending 'File Tx Message 7' to AI processor (4 ctrl bytes, 14 payload, 2 CRC)<info> app: Requested fast (15-30ms) conn params
[04:33.880] nrf   | <info> app: fileTx: FILE_START sent, file=LARGE.BIN
[04:33.880] nrf   | <info> app:   File setup time 40ms
[04:33.880] nrf   | BLE out: Sent  10 bytes: 'ftx ack 0'
[04:33.880] nrf   | <info> app: NUS TX Ready
[04:33.880] nrf   | <info> app: NUS TX Ready
[04:34.186] nrf   | <info> app: NUS TX Ready
[04:35.414] nrf   | <info> app: Conn params applied: interval 12 units (15ms), timeout 5000ms
[04:35.414] nrf   | <info> app: ftx ack 4 | pkt time 15ms
[04:35.414] nrf   | BLE out: Sent  10 bytes: 'ftx ack 4'
[04:35.414] nrf   | <info> app: NUS TX Ready
[04:35.716] nrf   | <info> app: ftx ack 8 | pkt time 12ms
            ... 2 per-packet lines ...
[04:35.716] nrf   | <info> app: Conn params applied: interval 24 units (30ms), timeout 6000ms
            ... 15 per-packet lines ...
[04:36.620] nrf   | <info> app:   BLE idle time 18ms
[04:36.620] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[04:37.855] nrf   | <info> app:   BLE idle time 18ms
[04:37.855] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[04:39.401] nrf   | <info> app:   BLE idle time 17ms
[04:39.401] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[04:40.954] nrf   | <info> app:   BLE idle time 18ms
[04:40.954] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 14 per-packet lines ...
[04:41.570] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 10 per-packet lines ...
[04:42.186] nrf   | <info> app:   BLE idle time 18ms
[04:42.186] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[04:43.717] nrf   | <info> app:   BLE idle time 18ms
[04:43.717] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[04:44.970] nrf   | <info> app:   BLE idle time 18ms
[04:44.970] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 16 per-packet lines ...
[04:46.201] nrf   | BLE out: Sent  12 bytes: 'ftx ack 244'
[04:46.201] nrf   | <info> app: NUS TX Ready
[04:46.201] nrf   | <info> app: ftx ack 248 | pkt time 12ms
[04:46.201] nrf   | BLE out: Sent  12 bytes: 'ftx ack 248'
[04:46.201] nrf   | <info> app: NUS TX Ready
[04:46.201] nrf   | <info> app: ftx ack 252 | pkt time 12ms
[04:46.201] nrf   | BLE out: Sent  12 bytes: 'ftx ack 252'
[04:46.201] nrf   | <info> app: NUS TX Ready
[04:46.508] nrf   | <info> app: ftx ack 1 | pkt time 16ms
[04:46.508] nrf   | BLE out: Sent  10 bytes: 'ftx ack 1'
[04:46.508] nrf   | <info> app: NUS TX Ready
[04:46.508] nrf   | <info> app: ftx ack 5 | pkt time 13ms
[04:46.508] nrf   | BLE out: Sent  10 bytes: 'ftx ack 5'
[04:46.508] nrf   | <info> app: NUS TX Ready
[04:47.122] nrf   | <info> app: ftx ack 9 | pkt time 12ms
[04:47.122] nrf   | BLE out: Sent  10 bytes: 'ftx ack 9'
[04:47.122] nrf   | <info> app: NUS TX Ready
            ... 15 per-packet lines ...
[04:47.739] nrf   | <info> app:   BLE idle time 18ms
[04:47.739] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[04:48.967] nrf   | <info> app:   BLE idle time 18ms
[04:48.967] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[04:50.514] nrf   | <info> app:   BLE idle time 17ms
[04:50.514] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[04:51.746] nrf   | <info> app:   BLE idle time 17ms
[04:51.746] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[04:53.285] nrf   | <info> app:   BLE idle time 17ms
[04:53.285] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 2 per-packet lines ...
[04:53.285] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[04:53.586] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 21 per-packet lines ...
[04:54.816] nrf   | <info> app:   BLE idle time 198ms
[04:54.816] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[04:56.354] nrf   | <info> app:   BLE idle time 18ms
[04:56.354] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 48 per-packet lines ...
[04:59.155] nrf   | <info> app:   BLE idle time 78ms
[04:59.155] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 2 per-packet lines ...
[04:59.470] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[04:59.470] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 21 per-packet lines ...
[05:00.702] nrf   | <info> app:   BLE idle time 18ms
[05:00.702] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[05:01.927] nrf   | <info> app:   BLE idle time 18ms
[05:01.927] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[05:03.154] nrf   | <info> app:   BLE idle time 18ms
[05:03.154] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[05:04.715] nrf   | <info> app:   BLE idle time 18ms
[05:04.715] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 14 per-packet lines ...
[05:05.641] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:05.641] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 9 per-packet lines ...
[05:05.953] nrf   | <info> app:   BLE idle time 17ms
[05:05.953] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[05:07.489] nrf   | <info> app:   BLE idle time 18ms
[05:07.489] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 47 per-packet lines ...
[05:10.254] nrf   | <info> app:   BLE idle time 18ms
[05:10.254] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 15 per-packet lines ...
[05:11.157] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:11.157] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[05:11.157] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 8 per-packet lines ...
[05:11.772] nrf   | <info> app:   BLE idle time 18ms
[05:11.772] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[05:12.988] nrf   | <info> app:   BLE idle time 18ms
[05:12.988] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[05:14.507] nrf   | <info> app:   BLE idle time 18ms
[05:14.507] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[05:16.040] nrf   | <info> app:   BLE idle time 18ms
[05:16.040] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[05:17.273] nrf   | <info> app:   BLE idle time 18ms
[05:17.273] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 3 per-packet lines ...
[05:17.573] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:17.573] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 20 per-packet lines ...
[05:18.505] nrf   | <info> app:   BLE idle time 18ms
[05:18.505] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 46 per-packet lines ...
[05:21.240] nrf   | <info> app:   BLE idle time 18ms
[05:21.240] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[05:22.772] nrf   | <info> app:   BLE idle time 18ms
[05:22.772] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 5 per-packet lines ...
[05:23.073] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:23.073] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[05:23.073] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 18 per-packet lines ...
[05:23.990] nrf   | <info> app:   BLE idle time 18ms
[05:23.990] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[05:25.523] nrf   | <info> app:   BLE idle time 18ms
[05:25.523] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[05:26.756] nrf   | <info> app:   BLE idle time 18ms
[05:26.756] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[05:28.272] nrf   | <info> app:   BLE idle time 18ms
[05:28.272] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 17 per-packet lines ...
[05:29.190] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:29.190] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 6 per-packet lines ...
[05:29.806] nrf   | <info> app:   BLE idle time 197ms
[05:29.806] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 16 per-packet lines ...
[05:30.707] nrf   | BLE out: Sent  12 bytes: 'ftx ack 244'
[05:30.707] nrf   | <info> app: NUS TX Ready
[05:30.707] nrf   | <info> app: ftx ack 248 | pkt time 12ms
[05:30.707] nrf   | BLE out: Sent  12 bytes: 'ftx ack 248'
[05:30.707] nrf   | <info> app: NUS TX Ready
[05:31.021] nrf   | <info> app: ftx ack 252 | pkt time 12ms
[05:31.021] nrf   | BLE out: Sent  12 bytes: 'ftx ack 252'
[05:31.021] nrf   | <info> app: NUS TX Ready
[05:31.021] nrf   | <info> app: ftx ack 1 | pkt time 13ms
[05:31.021] nrf   | BLE out: Sent  10 bytes: 'ftx ack 1'
[05:31.021] nrf   | <info> app: NUS TX Ready
[05:31.021] nrf   | <info> app: ftx ack 5 | pkt time 17ms
[05:31.021] nrf   | BLE out: Sent  10 bytes: 'ftx ack 5'
[05:31.326] nrf   | <info> app: NUS TX Ready
[05:31.638] nrf   | <info> app: ftx ack 9 | pkt time 13ms
[05:31.638] nrf   | BLE out: Sent  10 bytes: 'ftx ack 9'
[05:31.638] nrf   | <info> app: NUS TX Ready
            ... 15 per-packet lines ...
[05:32.567] nrf   | <info> app:   BLE idle time 18ms
[05:32.567] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[05:33.800] nrf   | <info> app:   BLE idle time 18ms
[05:33.800] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[05:35.337] nrf   | <info> app:   BLE idle time 18ms
[05:35.337] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 24 per-packet lines ...
[05:36.571] nrf   | <info> app:   BLE idle time 18ms
[05:36.571] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[05:38.120] nrf   | <info> app:   BLE idle time 18ms
[05:38.120] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[05:39.325] nrf   | <info> app:   BLE idle time 18ms
[05:39.325] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[05:40.871] nrf   | <info> app:   BLE idle time 18ms
[05:40.871] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 5 per-packet lines ...
[05:41.174] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:41.174] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 42 per-packet lines ...
[05:43.622] nrf   | <info> app:   BLE idle time 48ms
[05:43.622] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[05:45.156] nrf   | <info> app:   BLE idle time 17ms
[05:45.156] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 17 per-packet lines ...
[05:46.071] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:46.071] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 6 per-packet lines ...
[05:46.373] nrf   | <info> app:   BLE idle time 108ms
[05:46.373] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 5 per-packet lines ...
[05:46.674] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:46.674] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[05:46.674] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 18 per-packet lines ...
[05:47.605] nrf   | <info> app:   BLE idle time 18ms
[05:47.605] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[05:49.421] nrf   | <info> app:   BLE idle time 18ms
[05:49.421] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[05:50.640] nrf   | <info> app:   BLE idle time 18ms
[05:50.640] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[05:52.157] nrf   | <info> app:   BLE idle time 17ms
[05:52.157] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 17 per-packet lines ...
[05:53.071] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 1 per-packet lines ...
[05:53.071] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 29 per-packet lines ...
[05:54.905] nrf   | <info> app:   BLE idle time 18ms
[05:54.905] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[05:56.423] nrf   | <info> app:   BLE idle time 48ms
[05:56.423] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 24 per-packet lines ...
[05:57.650] nrf   | <info> app:   BLE idle time 18ms
[05:57.650] nrf   | <info> app: fileTx: FILE_DATA pkt 96 sent (241 bytes)
            ... 18 per-packet lines ...
[05:58.571] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 6 per-packet lines ...
[05:59.188] nrf   | <info> app:   BLE idle time 18ms
[05:59.188] nrf   | <info> app: fileTx: FILE_DATA pkt 128 sent (241 bytes)
            ... 24 per-packet lines ...
[06:00.722] nrf   | <info> app:   BLE idle time 17ms
[06:00.722] nrf   | <info> app: fileTx: FILE_DATA pkt 160 sent (241 bytes)
            ... 24 per-packet lines ...
[06:01.939] nrf   | <info> app:   BLE idle time 17ms
[06:01.939] nrf   | <info> app: fileTx: FILE_DATA pkt 192 sent (241 bytes)
            ... 24 per-packet lines ...
[06:03.157] nrf   | <info> app:   BLE idle time 18ms
[06:03.157] nrf   | <info> app: fileTx: FILE_DATA pkt 224 sent (241 bytes)
            ... 30 per-packet lines ...
[06:05.004] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[06:05.004] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
            ... 16 per-packet lines ...
[06:05.906] nrf   | <info> app:   BLE idle time 17ms
[06:05.906] nrf   | <info> app: fileTx: FILE_DATA pkt 32 sent (241 bytes)
            ... 24 per-packet lines ...
[06:07.438] nrf   | <info> app:   BLE idle time 17ms
[06:07.438] nrf   | <info> app: fileTx: FILE_DATA pkt 64 sent (241 bytes)
            ... 15 per-packet lines ...
[06:08.356] himax | FileTX: Received 'LARGE.BIN' OK (85 packets, 512000 bytes, CRC 0x0300)
[06:08.356] himax | Assert inter-processor interrupt.
[06:08.356] himax | Sending 17 bytes: Header 4, payload 11, checksum 2 'ftx ack end'
[06:08.356] himax | Negate inter-processor interrupt.
[06:08.356] himax | IF Task state changed from 'Disk Op State' (7) to 'I2C TX State' (3)
[06:08.356] himax | FatFS task sending event 0x070b. Tx data = 0x00000000
[06:08.356] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[06:08.356] himax | I2C transmission complete.
[06:08.356] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[06:08.356] app   | [FileTransfer] FILE_END sent: CRC=0x0300
[06:08.356] nrf   | <info> app: ftx ack 84 | pkt time 12ms
[06:08.356] nrf   | BLE out: Sent  11 bytes: 'ftx ack 84'
[06:08.356] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[06:08.356] nrf   | <info> app: AI State machine scheduler called with event 13 'TxFile to AI'
[06:08.356] nrf   | <info> app:   BLE idle time 8ms
[06:08.356] nrf   | <info> app: fileTx: FILE_END sent
[06:08.356] nrf   | <info> app: NUS TX Ready
[06:08.356] nrf   | <info> app:   File close time 17ms
[06:08.356] nrf   | <info> app:   File tx time 94658ms
[06:08.356] nrf   | <info> app: Requested standard (100-200ms) conn params
[06:08.356] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[06:08.356] nrf   | BLE out: Sent   9 bytes: 'ftx done'
[06:08.356] app   | [FileTransfer] Ignored: "ftx ack 84" — Expected 'ftx done', got 'ftx ack 84'
[06:08.356] app   | [FileTransfer] Transfer complete: "ftx done" received (FILE_END took 230ms)
