# nRF console: every 'Finished sending' line of 3 September 2026, from five bench logs. The line is logged as failed twice, then sent, each time. Times are MM:SS.mmm from each log's start; the log name gives the session.
capture_keepawake_01.log [04:18.883] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11818 bytes (50 packets)'
capture_keepawake_05_final.log [07:40.833] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12746 bytes (53 packets)'
capture_keepawake_05_final.log [07:40.833] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12746 bytes (53 packets)'
capture_keepawake_05_final.log [07:40.833] nrf   | BLE out: Sent  42 bytes: 'Finished sending 12746 bytes (53 packets)'
capture_keepawake_05_final.log [08:07.842] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12614 bytes (53 packets)'
capture_keepawake_05_final.log [08:07.842] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12614 bytes (53 packets)'
capture_keepawake_05_final.log [08:07.842] nrf   | BLE out: Sent  42 bytes: 'Finished sending 12614 bytes (53 packets)'
capture_keepawake_05_final.log [08:28.171] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12642 bytes (53 packets)'
capture_keepawake_05_final.log [08:28.171] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 12642 bytes (53 packets)'
capture_keepawake_05_final.log [08:28.171] nrf   | BLE out: Sent  42 bytes: 'Finished sending 12642 bytes (53 packets)'
capture_keepawake_05_final.log [08:51.447] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 14810 bytes (62 packets)'
capture_keepawake_05_final.log [08:51.447] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 14810 bytes (62 packets)'
capture_keepawake_05_final.log [08:51.447] nrf   | BLE out: Sent  42 bytes: 'Finished sending 14810 bytes (62 packets)'
capture_keepawake_05_final.log [09:30.773] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10848 bytes (46 packets)'
capture_keepawake_05_final.log [09:30.773] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 10848 bytes (46 packets)'
capture_keepawake_05_final.log [09:31.085] nrf   | BLE out: Sent  42 bytes: 'Finished sending 10848 bytes (46 packets)'
capture_keepawake_05_final.log [09:53.738] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11093 bytes (47 packets)'
capture_keepawake_05_final.log [09:53.738] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 11093 bytes (47 packets)'
capture_keepawake_05_final.log [09:54.053] nrf   | BLE out: Sent  42 bytes: 'Finished sending 11093 bytes (47 packets)'
capture_keepawake_06_retest.log [05:59.357] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26233 bytes (109 packets)'
capture_keepawake_06_retest.log [05:59.357] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26233 bytes (109 packets)'
capture_keepawake_06_retest.log [05:59.357] nrf   | BLE out: Sent  43 bytes: 'Finished sending 26233 bytes (109 packets)'
capture_keepawake_06_retest.log [06:36.891] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 25963 bytes (108 packets)'
capture_keepawake_06_retest.log [06:36.891] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 25963 bytes (108 packets)'
capture_keepawake_06_retest.log [06:37.206] nrf   | BLE out: Sent  43 bytes: 'Finished sending 25963 bytes (108 packets)'
capture_keepawake_06_retest.log [07:12.479] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 13034 bytes (55 packets)'
capture_keepawake_06_retest.log [07:12.479] nrf   | BLE out: Failed to send  42 bytes: 'Finished sending 13034 bytes (55 packets)'
capture_keepawake_06_retest.log [07:12.479] nrf   | BLE out: Sent  42 bytes: 'Finished sending 13034 bytes (55 packets)'
capture_keepawake_06_retest.log [08:25.255] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26439 bytes (110 packets)'
capture_keepawake_06_retest.log [08:25.255] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26439 bytes (110 packets)'
capture_keepawake_06_retest.log [08:25.255] nrf   | BLE out: Sent  43 bytes: 'Finished sending 26439 bytes (110 packets)'
