# 19:35:32, after the power cycle: 'AI dpd' sent from the app's Engineer Console to test whether its own reply reproduces finding A. It did not: the reply's I2C transmission finished inside the 1 ms period and the IF task took its Inactivity event in Idle. Same three-way logger; times are MM:SS.mmm from 18:27:23.
#
[68:07.763] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[68:09.048] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[68:09.048] himax | Saved state to SD card. Image sequence number = 27
[68:09.048] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[68:09.048] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[68:09.048] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[68:09.048] himax | Image task ready to sleep.
[68:09.048] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[68:09.048] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[68:09.048] himax | Inactive for 1ms
[68:09.048] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[68:09.048] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[68:09.048] himax | IF Task received event 'Message to Master' (0x070d). Rx data = 0x300113b8
[68:09.048] himax | Deferring event 0x070d
[68:09.048] himax | IF task ready to sleep.
[68:09.084] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Error bits = 0x0000
[68:09.158] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Forcing DPD by clearing inactivity period
[68:09.281] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[68:09.363] himax | DEBUG: ledFlashDisable()
[68:09.363] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[68:09.363] himax |    Inhibiting MD
[68:09.363] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[68:09.363] himax |  No LED flashes.
[68:09.363] himax | >>> Entering DPD at 2024:01:01 00:01:47
[68:09.414] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[68:09.414] nrf   | <info> app: BLE and AI time differ by 711s - too much!
[68:09.414] nrf   | <info> app: AI state changed from SLEEP to WOKEN
[68:09.414] nrf   | BLE out: Sent   5 bytes: 'Wake'
[68:09.414] nrf   | <info> app: AI State machine scheduler called with event 8 'Send SelfTest'
[68:09.414] nrf   | <info> app: AI state machine bumped with 'Send SelfTest' (Current state: WOKEN)
[68:09.414] nrf   | Sending 'selftest' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: OK
[68:09.414] nrf   | <info> app: AI state changed from WOKEN to SELFTEST
[68:09.414] nrf   | <info> app: I2C TX complete: 14 bytes.
[68:09.414] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[68:09.414] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[68:09.414] nrf   | <info> app: Can't send UTC
[68:09.414] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[68:09.414] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[68:09.414] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[68:09.414] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[68:09.414] nrf   | Sending 'dpd' to AI processor (4 ctrl bytes, 3 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[68:09.414] nrf   | <info> app: I2C TX complete: 9 bytes.
[68:09.414] nrf   | <info> app: AI processor replies: 'Forcing DPD by clearing inactivity period'
[68:09.414] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[68:09.414] nrf   | BLE out: Sent  42 bytes: 'Forcing DPD by clearing inactivity period'
[68:09.414] nrf   | <info> app: AI state machine bumped with 'Sleep' (Current state: IDLE)
[68:09.414] nrf   | <info> app: AI processor sends stats: '27 0 0 9 88 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 20 0 2 50 65 15 0 0 286 326 1 110 1 '
[68:09.414] nrf   | <info> app: AI state changed from IDLE to SLEEP
[68:09.414] nrf   | BLE out: Sent   6 bytes: 'Sleep'
